ticker,px_chg,eqy_c,val_trade,si_ratio,ev_c,ev_chg,sales_ev,sales2_ev,salesh_ev,ebitda_ev,ebitda2_ev,debt_ev,net_debt_ev,sales_chg_fwd,sales_chg_2fwd,sales_chg_qoq,sales_chg_ltm,ebitda_chg_fwd,ebitda_chg_2fwd
CDNS US Equity,-0.046169098,18868.3041,121659712,0.0374894,18701.44255,-0.046561855,8.034128472,7.517663156,7.517663156,0.045210416,0.049274274,0.024947434,-0.008922413,0.088739966,0.068700247,0.006375468,0.028227251,0.017676177,0.004063858
ANSS US Equity,-0.008987115,18176.6992,123880816,0.04453448,17652.52277,-0.009251512,12.80992338,11.68067338,11.43284598,0.038213858,0.043101885,0.006090914,-0.029694113,0.065241691,0.09667679,0.162409737,0.047234227,0.007859613,0.004888027
PTC US Equity,0.007768151,7770.0075,61151044,0.04990994,8146.435586,0.007406538,6.225306118,5.57593127,5.353954501,0.037900011,0.053090704,0.085794087,0.046207694,0.053772515,0.116460339,0.01733511,-0.015402758,0.018180344,0.015190693
MSFT US Equity,-0.018993217,1049028.893,3296602368,0.02041276,1001664.897,-0.019873468,7.129141645,6.448804739,6.257948936,0.061341872,0.068394242,0.086311301,-0.047285275,0.116493369,0.10549814,0.102907985,0.029719092,0.00508753,0.00705237
AMZN US Equity,-0.009871137,901535.3443,4932899328,0.01117138,931686.3201,-0.009554742,3.34439173,2.816211463,2.531312424,0.044829287,0.055596308,0.076864926,0.03236175,0.196209733,0.187549931,0.062043551,0.043544681,0.015031704,0.010767022
ZM US Equity,-0.086848635,23153.4332,157841360,0.08921077,22451.54841,-0.085541322,38.08975398,27.19020252,20.50754755,0.003363688,0.003776132,0.002377609,-0.031262209,0.783381793,0.400863195,0.195412664,0.181686139,0.002776869,0.000412444
SPLK US Equity,0.072822551,17971.1294,212406544,0.01898492,17260.30068,0.076049669,7.463345785,6.129496561,5.364462299,0.021953789,0.029808287,0.108053738,-0.041182886,0.282675082,0.217611546,0.215859715,0.066931215,0.033743039,0.007854498
SYMC US Equity,0.040903281,15098.5128,156427584,0.01811349,18070.51265,0.033947673,3.72876196,3.675809819,3.675809819,0.100495212,0.102017028,0.258210715,0.164466834,0.0243606,0.014405571,0.048780488,0.019234834,0.045433133,0.001521816
AKAM US Equity,-0.014696348,15043.1033,229782528,0.0674342,15001.97826,-0.014736038,5.246531103,4.90224361,4.90224361,0.078852934,0.086638574,0.085882873,-0.002741305,0.053393401,0.070230597,-0.002029701,0.015374649,0.025725341,0.00778564
FTNT US Equity,-0.011692997,13585.2691,89764824,0.04457937,11792.56967,-0.013446656,5.583603063,4.920013864,4.642067855,0.047802474,0.055349599,0.003179968,-0.152019454,0.172551632,0.134875473,0.103893356,0.042884574,0.023490554,0.007547125
CTXS US Equity,0.014520403,12529.9504,148151264,0.05620606,13155.92826,0.01381995,4.395272035,4.216734224,4.216734224,0.083308451,0.085303749,0.090386857,0.047581439,0.006488779,0.042340305,0.041096138,0.002113588,0.015118736,0.001995298
DBX US Equity,0.107104984,8631.4858,87383432,0.03770517,8526.886192,0.108561481,5.16330991,4.505767793,4.207327642,0.043717952,0.054455166,0.101819114,-0.012267081,0.186633614,0.145933423,0.04123444,0.042642026,0.082090693,0.010737214
PCTY US Equity,-0.115243004,5102.2426,49729004,0.03417907,4940.452417,-0.1185695,8.791810514,7.336742602,6.531266633,0.032949614,0.040518961,0,-0.032748013,0.201664553,0.19832615,-0.137432642,0.053521704,0.014573159,0.007569347
